ID,item_cnt_month
22987,1
20994,1
20995,1
22492,1
24827,1
23484,1
20996,1
20997,1
21743,1
20998,1
21000,1
21001,2
22124,1
21002,1
23403,1
22123,1
24412,1
22460,1
21003,1
20986,1
24314,1
20993,1
22120,1
22121,1
21745,1
22133,1
22134,1
20895,1
20985,1
22459,1
23489,1
20926,1
21739,1
20910,1
21736,1
21680,1
23490,1
25139,1
23404,1
23486,1
20911,1
24313,1
20972,1
24219,1
21681,1
20912,1
22440,1
22438,5
23363,1
22439,1
20984,5
24436,1
23112,3
21682,1
21301,1
21683,1
20979,2
21734,1
21302,1
21684,1
22141,1
21735,1
20914,1
24460,1
24344,1
21738,1
21687,3
20917,1
23125,1
20918,2
20919,1
21304,2
23361,3
20920,2
20921,3
21017,2
23474,1
22428,1
20901,1
20902,1
21018,1
22980,2
20922,1
20923,3
25215,2
24218,2
20924,1
21019,1
24077,1
22468,2
22467,1
21737,1
21305,1
20925,1
21306,3
22466,1
20909,1
21020,1
21307,1
20908,2
21022,4
22465,1
20898,9
22136,1
23373,1
22516,1
24366,1
24666,2
25198,2
23122,1
20904,7
23438,1
22137,3
22462,1
23439,2
21008,1
21015,1
20905,4
23374,1
22426,1
24367,1
21009,2
25137,2
20906,1
21010,1
21011,1
24174,1
23406,1
24418,1
21691,1
20859,3
23121,1
22997,6
21323,1
20858,2
22524,1
21688,1
22523,1
21324,1
22138,1
23369,2
23375,1
22116,1
23368,1
20932,1
20933,1
22513,1
20937,1
23495,1
20796,1
23367,1
20931,1
20797,4
22993,1
20798,1
20811,2
22427,2
20812,1
20813,1
24858,1
20940,1
20814,1
20815,3
24419,1
20799,1
25144,2
20802,1
20803,3
21319,1
20938,1
20942,1
20804,1
22537,2
23355,2
21537,1
23354,1
20808,1
22533,1
20820,1
20838,2
23350,1
22996,1
20966,1
23435,1
23436,1
22412,3
20805,1
22408,1
20807,1
20943,1
20957,1
20806,2
23106,1
24479,1
23105,1
20960,1
21538,1
20961,1
23351,0
24073,1
20959,1
22409,1
20840,2
20841,1
24203,1
22995,1
24117,1
20842,3
22106,2
23107,1
21321,1
25251,1
20968,2
20843,3
24415,2
24438,2
23356,1
22411,1
20844,1
21539,1
20845,1
20846,1
22102,1
23357,1
20847,1
20944,1
22103,1
20848,1
24204,1
20849,1
24205,1
22416,1
20850,1
20851,1
20852,1
20853,2
20854,1
20945,1
22417,1
20855,1
22104,1
22105,1
21325,1
22540,1
20856,1
20837,1
20831,1
20822,1
20946,1
24343,1
20823,1
22527,1
21403,1
20824,1
23497,1
20947,1
20825,1
24348,1
23346,1
24408,1
25479,1
20948,1
23426,1
20949,1
22532,1
20951,1
22994,1
22100,1
24201,1
22531,1
20828,2
20829,1
20830,1
20952,1
21535,1
21807,1
20953,1
20954,1
20969,1
22528,1
23428,1
23429,1
21404,1
24439,1
20833,2
23109,1
23110,1
21023,6
20834,1
24120,1
20835,1
21405,1
21406,1
23344,1
21066,1
25490,1
25456,4
21081,1
23359,1
20473,1
24380,1
20472,1
24202,1
21082,5
20456,7
21540,3
20457,3
24482,1
20458,8
20459,13
20460,6
20471,3
20461,1
20462,1
25159,1
22413,1
21536,1
22338,1
20478,1
22013,2
20479,2
20480,1
20481,5
20482,2
21079,3
21542,4
21813,1
24321,5
24119,6
20483,1
24323,1
21434,1
21069,1
24381,1
23444,1
21070,1
24481,1
20463,1
22969,1
21816,1
21411,1
25390,1
24480,1
21817,1
21072,1
21071,1
21073,1
21541,1
21075,1
21037,1
23240,2
21429,1
21038,1
21812,1
22114,1
24631,1
20466,1
20467,1
20468,1
20469,1
21076,1
22115,1
22507,1
21077,1
22506,1
21412,1
21532,1
24461,1
21065,1
20454,6
20499,1
20500,1
21413,1
21035,1
22906,1
20501,2
23904,1
21519,1
22109,2
21430,1
20502,1
20503,1
21431,2
20504,1
21039,3
21040,1
21041,1
21440,1
22891,1
22890,2
20507,1
25392,1
22333,1
24107,1
24431,1
22112,1
20508,3
24463,1
21032,1
21520,1
21521,1
21033,1
20510,1
21441,1
21984,1
21060,1
20487,1
23896,1
22924,1
21034,1
21056,2
21057,1
