ID,item_cnt_month
0,1
2,1
3,1
5,1
6,2
7,1
8,2
10,3
11,1
12,1
13,1
14,2
15,4
17,1
18,2
19,2
20,1
22,1
23,1
24,2
27,1
28,2
29,5
30,0
32,1
33,1
34,2
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,3
43,3
44,1
46,2
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,8
55,6
56,6
57,2
58,10
59,8
60,8
61,1
62,1
63,1
66,1
67,1
68,1
69,1
71,5
72,1
73,1
76,1
78,1
79,2
80,3
81,5
82,3
83,1
84,3
85,2
86,1
87,1
88,4
89,2
90,1
91,1
92,3
93,1
94,1
95,1
96,1
97,1
98,1
99,2
100,1
101,2
102,1
103,1
104,1
107,2
108,1
110,1
114,1
115,1
117,1
118,11
119,1
120,2
121,1
122,1
123,1
124,2
125,2
127,2
129,1
130,1
132,1
133,8
134,1
135,1
136,1
138,1
140,1
141,1
142,1
143,1
147,1
150,1
152,16
153,1
155,1
156,1
157,1
158,1
159,1
161,1
163,1
164,1
165,1
166,1
167,1
169,1
170,1
171,2
172,1
173,1
174,1
175,4
176,2
178,1
179,1
180,3
181,1
183,1
184,1
186,1
187,1
191,2
192,1
193,1
194,1
195,1
196,1
197,2
198,2
202,1
203,2
204,1
207,1
208,2
209,1
210,2
211,1
212,1
213,1
214,1
215,2
216,1
217,1
218,2
219,0
220,1
223,1
224,4
225,1
226,1
228,2
231,1
233,1
235,1
236,1
237,2
238,1
239,1
240,1
241,1
245,1
246,3
247,2
248,2
249,1
250,1
251,1
252,2
253,1
254,1
255,16
257,1
258,1
259,1
260,1
261,1
262,1
264,1
265,1
267,1
268,1
269,1
270,1
271,1
272,1
273,2
274,15
276,1
277,2
278,1
279,1
280,1
281,2
282,1
283,1
284,1
285,1
287,1
288,1
289,1
291,1
292,1
293,1
294,1
295,2
296,1
297,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
311,2
312,1
313,1
315,1
316,1
317,6
318,1
319,1
321,1
322,1
323,1
324,1
325,1
326,1
329,1
332,1
333,1
334,2
335,1
336,1
337,1
338,1
339,1
340,1
341,1
343,2
344,1
345,1
346,6
347,5
348,1
349,1
351,1
353,2
356,1
357,1
358,1
359,1
360,1
361,5
362,2
363,2
364,1
365,1
369,1
371,1
372,2
374,2
375,4
376,1
377,1
378,1
380,5
381,1
382,1
384,2
385,1
386,1
388,1
389,1
391,1
392,1
393,1
396,3
397,1
399,1
401,1
402,3
403,4
404,1
405,1
406,1
407,1
408,1
411,2
412,2
413,1
415,4
420,1
421,4
422,1
423,2
424,1
425,1
428,2
429,2
430,1
431,1
432,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
458,2
459,0
460,49
461,2
462,1
463,1
464,2
469,1
470,1
471,1
472,1
474,3
475,4
477,1
478,1
482,1
483,1
484,1
485,1
486,1
487,1
489,4
490,1
492,1
494,1
495,1
496,1
498,15
501,1
502,1
504,3
505,2
506,2
507,1
508,1
509,1
510,1
511,1
512,1
514,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,2
524,1
525,1
526,1
527,1
528,1
529,1
531,1
532,1
533,1
535,1
537,1
538,2
539,1
540,2
542,1
543,1
544,1
546,1
547,1
548,1
549,2
551,1
552,1
553,1
554,1
555,2
556,1
557,1
559,1
560,1
561,1
562,1
565,1
566,1
568,1
569,1
572,1
573,1
576,1
579,1
584,1
585,1
587,3
588,4
589,1
590,1
591,1
592,3
593,1
594,1
595,1
596,1
598,1
600,1
601,1
603,1
604,1
605,1
606,1
608,1
609,1
610,1
611,1
615,1
616,1
617,1
618,1
619,1
620,2
623,1
624,1
625,1
626,1
628,1
629,1
630,1
632,1
634,1
635,2
637,1
638,1
639,1
640,1
641,1
642,1
644,1
646,1
647,1
649,1
650,1
651,1
653,1
654,1
655,1
656,1
659,1
660,1
661,1
663,1
664,1
665,1
666,1
668,2
669,1
670,1
671,1
672,2
673,2
676,3
677,1
678,1
679,4
681,1
682,3
684,2
685,1
686,2
687,1
688,2
691,1
692,1
693,1
695,1
700,4
702,3
703,3
706,1
708,3
709,3
710,1
711,1
713,1
714,1
716,1
717,1
721,1
722,1
723,3
724,1
725,1
726,3
727,2
729,2
730,1
731,0
732,1
734,2
735,1
736,1
737,1
738,1
739,1
740,1
741,1
743,1
744,4
745,1
746,2
747,3
748,2
750,1
751,1
752,1
753,1
754,1
755,1
757,1
758,1
759,1
760,1
761,1
762,1
763,5
764,1
765,1
766,1
767,1
768,1
769,4
772,1
776,1
777,1
779,1
781,3
782,1
783,1
785,3
786,4
787,2
789,1
793,8
797,1
799,2
800,1
801,2
804,1
806,1
807,1
808,1
810,2
811,1
812,1
813,1
814,1
815,1
816,1
819,1
820,1
821,1
822,1
824,1
825,1
826,1
828,1
829,1
830,3
831,2
832,1
833,1
834,3
835,1
837,1
838,1
839,1
841,2
842,1
844,2
846,1
847,1
848,1
849,1
850,1
852,1
854,2
855,1
856,1
857,1
859,1
860,1
862,1
863,1
864,1
865,1
866,1
867,1
868,2
869,1
870,1
871,1
872,1
873,1
874,2
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,2
883,4
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,2
895,1
897,1
898,1
899,1
900,1
901,1
902,1
904,2
905,1
906,4
907,1
908,1
910,1
911,1
912,2
913,2
915,1
916,1
917,1
918,1
919,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
932,1
933,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
943,1
944,1
946,1
947,1
948,1
949,1
950,1
952,1
954,2
955,1
956,1
957,1
958,1
961,1
962,1
963,1
964,1
966,1
968,1
969,1
971,1
972,2
973,1
974,2
975,1
976,1
977,8
978,1
979,2
980,1
981,1
982,2
983,1
985,1
986,2
987,1
988,1
991,1
992,1
993,3
994,1
995,1
997,1
998,1
999,1
1000,1
1001,1
1002,2
1004,0
1005,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,2
1018,2
1019,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1029,1
1030,1
1031,1
1032,4
1034,1
1035,1
1036,1
1037,2
1039,1
1040,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1055,1
1056,1
1059,2
1060,1
1062,2
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
